year,month,day,ADBE,AMD,ADI,AAPL,AMAT,ADSK,GLW,HPQ,IBM,INTC,MU,MSFT,MSI,ORCL,SWKS,TER,TXN,TYL,WDC,
2009,03,31,0.107494313,0.145843346,0.019003551,0.070776353,0.067148451,0.122106091,0.09961761,0.044475515,0.022350232,0.071790624,0.100672535,0.055935344,0.079797019,0.065505535,0.093419872,0.025518684,0.060896339,0.031386201,0.151005599,
2009,04,30,0.106746546,0.073207363,0.043088046,0.078103294,0.055309211,0.074157441,0.042076365,0.050097467,0.027442418,0.021147124,0.079895533,0.042531867,0.11638452,0.030633355,0.040113604,0.132315584,0.041768603,0.052239618,0.084980952,
2009,05,29,0.012983658,0.099548651,0.063209441,0.033143594,-0.032917648,0.031904564,0.003901458,-0.020136922,0.01500671,0.002090753,0.01572908,0.016067943,0.039747976,0.005579409,0.032641299,0.080515582,0.03108667,0.007825338,0.023890188,
2009,06,30,0.001845447,-0.069344888,0.006533391,0.020667811,-0.009749393,-0.05333351,0.038427251,0.052153411,-0.007667329,0.022345192,0,0.05609034,0.039040447,0.038783424,0.011690558,-0.017979848,0.040577424,-0.031628252,0.027919817,
2009,07,31,0.059026575,-0.02422988,0.043174961,0.059624879,0.0980936,0.060359457,0.02470411,0.049338594,0.052840636,0.065633056,0.101355097,-0.00459149,0.033399901,0.015209441,0.091285081,0.060203075,0.054710591,-0.006160309,0.057479808,
2009,08,31,-0.01360683,0.076005404,0.016794551,0.01262669,-0.017999721,0.031116623,-0.050687336,0.0156607,0.002471409,0.02670709,0.061966187,0.022768062,0.001210078,-0.004933146,-0.016485339,0.019927746,0.009641048,-0.004820818,0.054314829,
2009,09,30,0.021833858,0.113329942,-0.010424467,0.042147045,0.006543739,0.006804668,0.006574645,0.022643606,0.005701713,-0.016333291,0.0463469,0.01845315,0.077868909,-0.02115081,0.056307565,0.049688092,-0.016192994,0.050042159,0.027609324,
2009,10,30,-0.001316444,-0.0900586,-0.031845458,0.007319462,-0.04009819,0.020145321,-0.020325243,0.002294466,0.00361611,-0.010331397,-0.081947031,0.032679072,-0.001011219,0.006430735,-0.103605506,-0.04341946,-0.002203429,0.04646845,-0.035278295,
2009,11,30,0.02733599,0.182960186,0.068226497,0.025521981,0.005903092,-0.026579431,0.058865033,0.014399094,0.022121654,0.005299402,0.044349524,0.027424353,-0.029348536,0.019718043,0.071973114,0.024711019,0.032805541,0.021384971,0.038946963,
2009,12,31,0.02055214,0.140157339,0.025284373,0.022895797,0.054003038,0.034861818,0.063587428,0.021849115,0.015364462,0.026327912,0.147445096,0.015519402,-0.013771033,0.04569723,0.061723879,0.083162052,0.013025217,-0.001524224,0.07861108,
